Player,Team,draft_year,draft_round,draft_number
Dennis Rodman,CHI,1986,2,27
Dwayne Schintzius,LAC,1990,1,24
Earl Cureton,TOR,1979,3,58
Ed O'Bannon,DAL,1995,1,9
Ed Pinckney,MIA,1985,1,10
Eddie Johnson,HOU,1981,2,29
Eddie Jones,LAL,1994,1,10
Elden Campbell,LAL,1990,1,27
Eldridge Recasner,ATL,1992,Undrafted,Undrafted
Elliot Perry,MIL,1991,2,37
Elmer Bennett,DEN,1992,2,38
Elmore Spencer,SEA,1992,1,25
Emanual Davis,HOU,Undrafted,Undrafted,Undrafted
Ennis Whatley,POR,1983,1,13
Eric Leckner,VAN,1988,1,17
Eric Mobley,VAN,1994,1,18
Eric Montross,NJN,1994,1,9
Eric Murdock,DEN,1991,1,21
Eric Piatkowski,LAC,1994,1,15
Eric Snow,SEA,1995,2,43
Eric Williams,BOS,1995,1,14
Erick Dampier,IND,1996,1,10
Erick Strickland,DAL,Undrafted,Undrafted,Undrafted
Ervin Johnson,DEN,1993,1,23
Duane Ferrell,IND,Undrafted,Undrafted,Undrafted
Duane Causwell,SAC,1990,1,18
Doug West,MIN,1989,2,38
Doug Overton,PHI,1991,2,40
Dell Demps,ORL,Undrafted,Undrafted,Undrafted
Dennis Scott,ORL,1990,1,4
Derek Fisher,LAL,1996,1,24
Derek Harper,DAL,1983,1,11
Derek Strong,ORL,1990,2,47
Derrick Alston,ATL,1994,2,33
Derrick Coleman,PHI,1990,1,1
Derrick McKey,IND,1987,1,9
Detlef Schrempf,SEA,1985,1,8
Devin Gray,SAS,1995,Undrafted,Undrafted
Dexter Boney,PHX,Undrafted,Undrafted,Undrafted
Evric Gray,NJN,Undrafted,Undrafted,Undrafted
Dickey Simpkins,CHI,1994,1,21
Dino Radja,BOS,1989,2,40
Dominique Wilkins,SAS,1982,1,3
Don MacLean,PHI,1992,1,19
Don Reid,DET,1995,2,58
Donald Royal,CHH,1987,3,52
Donald Whiteside,TOR,Undrafted,Undrafted,Undrafted
Donnie Boyce,ATL,1995,2,42
Donny Marshall,CLE,1995,2,39
Dontonio Wingfield,POR,1994,2,37
Donyell Marshall,GSW,1994,1,4
Doug Christie,TOR,1992,1,17
Dikembe Mutombo,ATL,1991,1,4
Dell Curry,CHH,1986,1,15
Felton Spencer,GSW,1990,1,6
Frankie King,PHI,1995,2,37
Horacio Llamas,PHX,Undrafted,Undrafted,Undrafted
Hot Rod Williams,PHX,1985,2,45
Howard Eisley,UTA,1994,2,30
Hubert Davis,TOR,1992,1,20
Ike Austin,MIA,1991,2,48
Isaiah Rider,POR,1993,1,5
Ivano Newbill,ATL,1994,Undrafted,Undrafted
Jack Haley,NJN,1987,4,79
Jalen Rose,IND,1994,1,13
Jamal Mashburn,MIA,1993,1,4
James Robinson,MIN,1993,1,21
James Scott,MIA,Undrafted,Undrafted,Undrafted
Jamie Feick,SAS,1996,2,48
Jamie Watson,DAL,1994,2,47
Jaren Jackson,WAS,Undrafted,Undrafted,Undrafted
Jason Caffey,CHI,1995,1,20
Jason Kidd,PHX,1994,1,2
Jason Sasser,DAL,1996,2,41
Jayson Williams,NJN,1990,1,21
Jeff Grayer,SAC,1988,1,13
Jeff Hornacek,UTA,1986,2,46
Jeff McInnis,DEN,1996,2,37
Jermaine O'Neal,POR,1996,1,17
Horace Grant,ORL,1987,1,10
Hersey Hawkins,SEA,1988,1,6
Herb Williams,NYK,1981,1,14
Henry James,ATL,Undrafted,Undrafted,Undrafted
Fred Roberts,DAL,1982,2,27
Gary Grant,MIA,1988,1,15
Gary Payton,SEA,1990,1,2
Gary Trent,POR,1995,1,11
Gaylon Nickerson,WAS,1994,2,34
George Lynch,VAN,1993,1,12
George McCloud,LAL,1989,1,7
George Zidek,DEN,1995,1,22
Gerald Wilkins,ORL,1985,2,47
Gheorghe Muresan,WAS,1993,2,30
Glen Rice,CHH,1989,1,4
Frank Brickowski,BOS,1981,3,57
Glenn Robinson,MIL,1994,1,1
Grant Long,DET,1988,2,33
Greg Anderson,SAS,1987,1,23
Greg Anthony,VAN,1991,1,12
Greg Dreiling,DAL,1986,2,26
Greg Foster,UTA,1990,2,35
Greg Graham,SEA,1993,1,17
Greg Minor,BOS,1994,1,25
Greg Ostertag,UTA,1995,1,28
Hakeem Olajuwon,HOU,1984,1,1
Harvey Grant,WAS,1988,1,12
Haywoode Workman,IND,1989,2,49
Grant Hill,DET,1994,1,3
Dee Brown,BOS,1990,1,19
Dean Garrett,MIN,1988,2,38
David Wood,MIL,Undrafted,Undrafted,Undrafted
Ashraf Amaya,WAS,Undrafted,Undrafted,Undrafted
Avery Johnson,SAS,Undrafted,Undrafted,Undrafted
B.J. Armstrong,GSW,1989,1,18
Ben Davis,PHX,1996,2,43
Ben Wallace,WAS,Undrafted,Undrafted,Undrafted
Benoit Benjamin,TOR,1985,1,3
Bill Wennington,CHI,1985,1,16
Billy Owens,SAC,1991,1,3
Bimbo Coles,GSW,1990,2,40
Bison Dele,CHI,1991,1,10
Blue Edwards,VAN,1989,1,21
Bo Outlaw,LAC,Undrafted,Undrafted,Undrafted
Bob Sura,CLE,1995,1,17
