Player,teams,PER
Aaron Brooks,MIN,9.8
Aaron Gordon,ORL,16.5
Aaron Harrison,DAL,5.1
Aaron Jackson,HOU,2.4
Abdel Nader,BOS,5.1
Adreian Payne,ORL,18.8
Al Horford,BOS,17.6
Al Jefferson,IND,20.2
Al-Farouq Aminu,POR,12.0
Alan Williams,PHO,9.3
Alec Burks,UTA,13.1
Alec Peters,PHO,10.7
Alex Abrines,OKC,9.0
Alex Caruso,LAL,8.7
Alex Len,PHO,19.4
Alex Poythress,IND,7.8
Alfonzo McKinnie,TOR,10.1
Allen Crabbe,BRK,12.3
Amir Johnson,PHI,14.8
Andre Drummond,DET,22.9
Andre Iguodala,GSW,11.2
Andre Ingram,LAL,16.3
Andre Roberson,OKC,10.9
Andrew Bogut,LAL,10.9
Andrew Harrison,MEM,12.7
Andrew White,ATL,5.8
Andrew Wiggins,MIN,13.0
Ante Zizic,CLE,24.2
Anthony Brown,MIN,41.9
Anthony Davis,NOP,28.9
Anthony Tolliver,DET,13.9
Antonio Blakeney,CHI,10.1
Antonius Cleveland,ATL,3.5
Antonius Cleveland,DAL,5.1
Antonius Cleveland,TOT,4.5
Aron Baynes,BOS,12.1
Arron Afflalo,ORL,5.8
Austin Rivers,LAC,12.6
Avery Bradley,DET,9.7
Avery Bradley,LAC,9.0
Avery Bradley,TOT,9.6
Bam Adebayo,MIA,15.7
Ben McLemore,MEM,9.7
Ben Moore,IND,-2.3
Ben Simmons,PHI,20.0
Bismack Biyombo,ORL,14.1
Blake Griffin,DET,18.5
Blake Griffin,LAC,20.4
Blake Griffin,TOT,19.6
Boban Marjanovic,DET,21.6
Boban Marjanovic,LAC,30.6
Boban Marjanovic,TOT,26.0
Bobby Brown,HOU,5.5
Bobby Portis,CHI,19.7
Bogdan Bogdanovic,SAC,13.5
Bojan Bogdanovic,IND,13.9
Bradley Beal,WAS,18.4
Brandan Wright,HOU,11.3
Brandan Wright,MEM,19.3
Brandan Wright,TOT,19.0
Brandon Ingram,LAL,13.8
Brandon Jennings,MIL,12.7
Brandon Paul,SAS,7.5
Briante Weber,HOU,11.1
Briante Weber,MEM,9.2
Briante Weber,TOT,10.1
Brice Johnson,LAC,21.3
Brice Johnson,MEM,16.2
Brice Johnson,TOT,18.2
Brook Lopez,LAL,16.4
Bruno Caboclo,SAC,8.3
Bruno Caboclo,TOR,-0.1
Bruno Caboclo,TOT,7.7
Bryn Forbes,SAS,9.1
Buddy Hield,SAC,16.1
C.J. Miles,TOR,13.0
C.J. Williams,LAC,9.5
CJ McCollum,POR,17.0
Caleb Swanigan,POR,7.5
Cameron Payne,CHI,14.0
Caris LeVert,BRK,14.3
Carmelo Anthony,OKC,12.7
Cedi Osman,CLE,11.0
Chandler Parsons,MEM,13.6
Channing Frye,CLE,13.9
