,players,teams,age,player_height,player_weight,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct
0,A.C. Green,DAL,34.0,205.74,102.0582,71.66666666666667,6.466666666666666,6.866666666666667,0.9333333333333332,-6.933333333333333,0.09566666666666666,0.19400000000000003,0.12833333333333333,0.48666666666666675,0.054
1,A.C. Green,LAL,36.0,205.74,102.0582,82.0,5.0,5.9,1.0,8.1,0.08900000000000001,0.179,0.111,0.48200000000000004,0.057999999999999996
2,A.C. Green,MIA,37.0,205.74,102.0582,82.0,4.5,3.8,0.5,3.3,0.08900000000000001,0.171,0.141,0.49200000000000005,0.05
3,A.J. Bramlett,CLE,23.0,208.28,102.965384,8.0,1.0,2.8,0.0,-32.6,0.158,0.20800000000000002,0.146,0.19,0.0
4,A.J. Guyton,CHI,23.5,185.42,81.64656,39.0,5.7,1.05,1.85,-8.1,0.020000000000000004,0.06,0.195,0.486,0.223
5,A.J. Guyton,GSW,25.0,185.42,81.64656,2.0,0.0,0.0,1.0,-3.9,0.0,0.0,0.282,0.0,0.4
6,AJ Hammons,DAL,24.0,213.36,117.93392,22.0,2.2,1.6,0.2,-0.6,0.049,0.19899999999999998,0.16699999999999998,0.47200000000000003,0.038
7,AJ Price,CLE,28.0,187.96,88.45044,26.0,5.1,1.2,1.8,-12.2,0.019,0.096,0.226,0.451,0.254
8,AJ Price,IND,24.0,187.96,82.70494133333334,50.0,5.8999999999999995,1.4666666666666668,2.033333333333333,1.1666666666666667,0.020333333333333335,0.09500000000000001,0.209,0.47933333333333333,0.2316666666666667
9,AJ Price,MIN,27.0,187.96,88.45044,28.0,1.6,0.4,0.5,-2.4,0.009000000000000001,0.081,0.23,0.469,0.271
10,AJ Price,WAS,26.0,187.96,83.91452,57.0,7.7,2.0,3.6,-2.3,0.017,0.083,0.18100000000000002,0.501,0.273
11,Aaron Brooks,CHI,30.5,182.88,73.028312,75.5,9.35,1.75,2.9000000000000004,1.9000000000000001,0.0195,0.078,0.2415,0.514,0.255
12,Aaron Brooks,DEN,29.0,182.88,73.028312,72.0,9.0,1.9,3.2,-2.5,0.031,0.069,0.205,0.518,0.23800000000000002
13,Aaron Brooks,HOU,25.0,182.88,73.028312,66.5,10.775,1.8,3.05,-1.9249999999999998,0.0205,0.0745,0.2235,0.54,0.22325
14,Aaron Brooks,IND,32.0,182.88,73.028312,65.0,5.0,1.1,1.9,-3.0,0.022000000000000002,0.064,0.191,0.507,0.21600000000000003
15,Aaron Brooks,MIN,33.0,182.88,73.028312,32.0,2.3,0.5,0.6,-17.2,0.036000000000000004,0.057,0.192,0.508,0.161
16,Aaron Brooks,PHX,26.0,182.88,73.028312,59.0,10.7,1.3,3.9,-6.5,0.017,0.053,0.257,0.489,0.289
17,Aaron Gordon,ORL,21.5,205.3166666666667,100.92421999999999,66.16666666666667,12.516666666666667,6.3500000000000005,2.3,-2.0833333333333335,0.057999999999999996,0.17550000000000002,0.19683333333333333,0.528,0.11683333333333334
18,Aaron Gray,CHI,23.5,213.36,122.46983999999999,58.5,3.9,3.3499999999999996,0.75,-3.15,0.131,0.2005,0.1815,0.5185,0.10550000000000001
19,Aaron Gray,NOH,25.5,213.36,122.46983999999999,36.5,3.2,3.75,0.55,0.2500000000000001,0.152,0.2515,0.148,0.5585,0.0765
20,Aaron Gray,SAC,29.0,213.36,122.46983999999999,37.0,1.8,3.0,0.6,-11.7,0.13,0.226,0.125,0.466,0.092
21,Aaron Gray,TOR,27.5,213.36,122.46983999999999,45.5,3.3499999999999996,4.45,0.7,-7.800000000000001,0.11149999999999999,0.25,0.1345,0.535,0.079
22,Aaron Harrison,CHA,21.5,198.12,95.25431999999999,13.0,0.55,0.6499999999999999,0.35,-8.200000000000001,0.0235,0.1665,0.14,0.2365,0.20400000000000001
23,Aaron Harrison,DAL,23.0,198.12,95.25431999999999,9.0,6.7,2.7,1.2,-14.1,0.015,0.091,0.147,0.392,0.07200000000000001
24,Aaron Holiday,IND,22.5,184.14999999999998,83.91452,53.0,7.75,1.7999999999999998,2.5,4.4,0.012,0.083,0.1985,0.521,0.1885
25,Aaron Jackson,HOU,32.0,190.5,83.007336,1.0,8.0,3.0,1.0,-19.8,0.055999999999999994,0.031,0.149,0.405,0.053
26,Aaron McKie,DET,24.0,195.58,94.800728,83.0,5.2,2.7,1.9,5.2,0.031,0.129,0.147,0.524,0.163
27,Aaron McKie,LAL,33.5,195.58,94.800728,12.0,1.35,1.6,1.05,-5.1,0.0195,0.1615,0.07450000000000001,0.4595,0.156
28,Aaron McKie,PHI,28.5,195.57999999999998,94.80072800000002,70.0,7.637500000000001,3.3874999999999993,2.9250000000000003,1.55,0.025625,0.12975,0.153125,0.500875,0.18962500000000002
29,Aaron Miles,GSW,23.0,185.42,86.18248,19.0,0.8,0.7,1.3,-3.9,0.0,0.154,0.113,0.405,0.308
30,Aaron Williams,LAC,35.5,205.74,106.59411999999999,34.0,2.15,2.1,0.25,-9.15,0.075,0.1865,0.1095,0.573,0.041
31,Aaron Williams,NJN,30.5,205.74,107.16111,79.25,7.475,4.875,1.05,-1.5,0.09400000000000001,0.168,0.17475000000000002,0.5385,0.08825000000000001
32,Aaron Williams,NOK,34.0,205.74,106.59411999999999,48.0,4.6,3.8,0.4,-3.2,0.096,0.182,0.138,0.551,0.036000000000000004
33,Aaron Williams,SEA,26.5,205.74,102.0582,52.5,4.3,2.75,0.4,-2.8499999999999996,0.10650000000000001,0.16899999999999998,0.183,0.5425,0.0615
34,Aaron Williams,TOR,33.0,205.74,106.59411999999999,42.0,1.7,1.4,0.2,-21.3,0.062,0.171,0.132,0.518,0.049
35,Aaron Williams,VAN,25.0,205.74,102.0582,33.0,6.2,4.3,0.5,-8.3,0.129,0.163,0.168,0.599,0.051
36,Aaron Williams,WAS,28.0,205.74,102.0582,81.0,7.6,5.0,0.7,2.2,0.122,0.18600000000000003,0.18,0.5720000000000001,0.062
37,Abdel Nader,BOS,24.0,198.12,104.32616,48.0,3.0,1.5,0.5,-10.3,0.024,0.111,0.162,0.439,0.078
38,Abdel Nader,OKC,25.5,196.85000000000002,102.0582,54.0,5.0,1.9,0.5,-6.2,0.018000000000000002,0.11600000000000002,0.15450000000000003,0.55,0.057499999999999996
39,Acie Earl,MIL,27.0,210.82,108.86208,47.0,4.0,2.0,0.4,-6.4,0.079,0.14,0.22399999999999998,0.435,0.077
40,Acie Law,ATL,23.5,190.5,90.03801200000001,55.5,3.55,1.05,1.8,-3.0,0.0145,0.081,0.16399999999999998,0.47250000000000003,0.2375
41,Acie Law,CHI,25.0,190.5,91.625584,26.0,4.3,0.7,1.0,7.0,0.015,0.068,0.22,0.585,0.17
42,Acie Law,GSW,26.0,190.5,91.625584,51.0,4.2,1.2,1.6,-8.2,0.019,0.08199999999999999,0.16,0.502,0.182
43,Adam Harrington,DEN,22.0,195.58,90.7184,19.0,1.6,0.4,0.6,-15.7,0.01,0.08800000000000001,0.16699999999999998,0.387,0.179
44,Adam Keefe,GSW,31.0,205.74,104.32616,67.0,2.5,3.1,0.5,-9.2,0.105,0.175,0.11599999999999999,0.45,0.066
45,Adam Keefe,UTA,28.5,205.74,105.573538,62.0,4.45,3.5999999999999996,0.675,4.324999999999999,0.10725,0.16775,0.137,0.54325,0.07025
46,Adam Mokoka,CHI,21.0,195.58,86.18248,11.0,2.9,0.9,0.4,17.1,0.057,0.028999999999999998,0.11,0.5379999999999999,0.043
47,Adam Morrison,CHA,22.0,203.2,92.98635999999999,78.0,11.8,2.9,2.1,-7.0,0.026000000000000002,0.092,0.22,0.45,0.121
48,Adam Morrison,LAL,24.5,203.2,92.98635999999999,41.5,3.2,1.25,0.7,-8.25,0.038000000000000006,0.1055,0.18,0.43299999999999994,0.11099999999999999
49,Admiral Schofield,WAS,22.0,195.58,109.31567199999999,26.0,3.2,1.3,0.5,-4.6,0.018000000000000002,0.092,0.124,0.514,0.068
50,Adonal Foyle,GSW,27.5,208.28000000000003,118.16071599999998,64.1,4.180000000000001,4.86,0.5,-4.950000000000001,0.10789999999999997,0.1816,0.12600000000000003,0.48640000000000005,0.0434
51,Adonal Foyle,ORL,33.5,208.28,122.46983999999999,46.0,1.7999999999999998,2.55,0.15000000000000002,-1.6500000000000001,0.1225,0.2265,0.1215,0.5435,0.033
52,Adonis Jordan,MIL,28.0,180.34,77.11064,4.0,1.5,0.0,0.8,-36.4,0.0,0.0,0.185,0.521,0.273
53,Adonis Thomas,PHI,21.0,200.66,108.86208,6.0,2.3,0.5,0.5,10.8,0.0,0.091,0.184,0.485,0.115
54,Adreian Payne,MIN,25.0,208.28,108.71088266666668,34.0,4.233333333333333,3.0,0.6333333333333333,-8.966666666666667,0.06366666666666666,0.20200000000000004,0.19333333333333333,0.4566666666666667,0.08300000000000002
55,Adreian Payne,ORL,27.0,208.28,107.501304,5.0,4.2,1.8,0.0,-12.4,0.044000000000000004,0.226,0.155,0.831,0.0
56,Adrian Caldwell,DAL,31.0,203.2,120.20188,1.0,0.0,0.0,0.0,18.5,0.0,0.0,0.0,0.0,0.0
