,Player,Tm,season17_18
0,A.J. Hammons,MIA,1312611.0
1,Aaron Brooks,MIN,2116955.0
2,Aaron Gordon,ORL,5504420.0
3,Aaron Gray,DET,452059.0
4,Abdel Nader,BOS,1167333.0
5,Al Horford,BOS,27734405.0
6,Al Jefferson,IND,9769821.0
7,Al-Farouq Aminu,POR,7319035.0
8,Alan Williams,PHO,6000000.0
9,Alec Burks,UTA,10845506.0
10,Alex Abrines,OKC,5725000.0
11,Alex Len,PHO,4187599.0
12,Alex Poythress,IND,778668.0
13,Alexis Ajinca,NOP,4961798.0
14,Alfonzo McKinnie,TOR,815615.0
15,Allen Crabbe,BRK,19332500.0
16,Amir Johnson,PHI,11000000.0
17,Anderson Varejao,POR,1913345.0
18,Andre Drummond,DET,23775506.0
19,Andre Iguodala,GSW,14814815.0
20,Andre Roberson,OKC,9259259.0
21,Andrew Bogut,LAL,2328652.0
22,Andrew Harrison,MEM,1312611.0
23,Andrew Nicholson,POR,2844429.0
24,Andrew Wiggins,MIN,7574322.0
25,Ante Zizic,CLE,1645200.0
26,Anthony Davis,NOP,23775506.0
27,Anthony Tolliver,DET,3290000.0
28,Anthony Tolliver,SAC,2000000.0
29,Antonius Cleveland,ATL,92160.0
30,Antonius Cleveland,DAL,50000.0
31,Aron Baynes,BOS,4328000.0
32,Arron Afflalo,ORL,2328652.0
33,Arron Afflalo,SAC,1500000.0
34,Austin Rivers,LAC,11825000.0
35,Avery Bradley,LAC,8808989.0
36,Axel Toupane,NOP,25000.0
37,Bam Adebayo,MIA,2490360.0
38,Ben McLemore,MEM,5200000.0
39,Ben Simmons,PHI,6168840.0
40,Beno Udrih,DET,25000.0
41,Bismack Biyombo,ORL,17000000.0
42,Blake Griffin,DET,29512900.0
43,Boban Marjanovic,LAC,7000000.0
44,Bobby Brown,HOU,1524305.0
45,Bobby Portis,CHI,1516320.0
46,Bogdan Bogdanovic,SAC,9470614.0
47,Bojan Bogdanovic,IND,10500000.0
48,Bradley Beal,WAS,23775506.0
49,Brandan Wright,MEM,5179760.0
50,Brandon Ingram,LAL,5519400.0
51,Brandon Jennings,MIL,119010.0
52,Brandon Knight,PHO,13618750.0
53,Brandon Paul,SAS,815615.0
54,Brandon Rush,POR,119602.0
55,Briante Weber,HOU,50000.0
56,Briante Weber,LAL,50000.0
57,Briante Weber,MEM,83129.0
58,Brice Johnson,MEM,1331160.0
59,Brook Lopez,LAL,22642350.0
60,Bruno Caboclo,SAC,2451225.0
61,Bryn Forbes,SAS,1312611.0
62,Buddy Hield,SAC,3675480.0
63,C.J. McCollum,POR,23962573.0
64,C.J. Miles,TOR,7936509.0
65,C.J. Watson,ORL,333334.0
66,Caleb Swanigan,POR,1465920.0
67,Cameron Oliver,HOU,300000.0
68,Cameron Payne,CHI,2203440.0
69,Caris LeVert,BRK,1632480.0
70,Carlos Delfino,LAC,650000.0
71,Carmelo Anthony,OKC,26243760.0
72,Caron Butler,SAC,517220.0
73,Carrick Felix,WAS,140902.0
74,Cedi Osman,CLE,2642857.0
75,Chandler Parsons,MEM,23112004.0
76,Channing Frye,LAL,7420912.0
77,Chasson Randle,NYK,1312611.0
78,Cheick Diallo,NOP,1312611.0
79,Chinanu Onuaku,HOU,1312611.0
80,Chris Bosh,MIA,25289390.0
81,Chris Johnson,HOU,25000.0
82,Chris McCullough,WAS,1471382.0
83,Chris Paul,HOU,24599495.0
84,Clint Capela,HOU,2334520.0
85,Cody Zeller,CHO,12584270.0
86,Cole Aldrich,MIN,7300000.0
87,Corey Brewer,LAL,7579366.0
88,Cory Joseph,IND,7630000.0
89,Courtney Lee,NYK,11747890.0
90,Cristiano Felicio,CHI,7843500.0
91,D'Angelo Russell,BRK,5562360.0
92,D.J. Augustin,ORL,7250000.0
93,D.J. Wilson,MIL,2135040.0
94,Dakari Johnson,OKC,815615.0
95,Damian Jones,GSW,1312611.0
96,Damian Lillard,POR,26153057.0
97,Damien Wilkins,IND,2116955.0
98,Damyean Dotson,NYK,1100000.0
99,Daniel Ochefu,WAS,50000.0
100,Daniel Theis,BOS,815615.0
101,Danilo Gallinari,LAC,20559599.0
102,Danny Green,SAS,10000000.0
103,Dante Cunningham,BRK,2300000.0
104,Dante Exum,UTA,4992385.0
105,Dario Saric,PHI,2422560.0
106,Darius Miller,NOP,2100000.0
107,Darrell Arthur,DEN,7464912.0
108,Darren Collison,IND,10000000.0
109,David Nwaba,CHI,1312611.0
110,David West,GSW,2328652.0
111,Davis Bertans,SAS,1312611.0
112,Davon Reed,PHO,815615.0
113,De'Aaron Fox,SAC,4609200.0
114,DeAndre Jordan,LAC,22642350.0
115,DeAndre Liggins,ATL,26773.0
116,DeAndre Liggins,MIL,1577230.0
117,DeAndre Liggins,NOP,172238.0
118,DeAndre' Bembry,ATL,1567200.0
119,DeMar DeRozan,TOR,27739975.0
120,DeMarcus Cousins,NOP,18063850.0
121,DeMarre Carroll,BRK,14800000.0
122,Dejounte Murray,SAS,1312611.0
123,Delon Wright,TOR,1645200.0
124,Demetrius Jackson,BOS,92858.0
125,Demetrius Jackson,HOU,62079.5
126,Dennis Schroder,ATL,15500000.0
127,Dennis Smith,DAL,3218280.0
128,Denzel Valentine,CHI,2186400.0
129,Deron Williams,BRK,5500000.0
130,Derrick Favors,UTA,12000000.0
131,Derrick Jones,PHO,1312611.0
132,Derrick Rose,UTA,2116955.0
133,Derrick White,SAS,1404600.0
134,Derrick Williams,LAL,104059.0
135,Devin Booker,PHO,2319360.0
136,Devin Harris,DEN,4402546.0
137,Dewayne Dedmon,ATL,6000000.0
138,Deyonta Davis,MEM,1312611.0
139,Diamond Stone,ATL,1312611.0
140,Diamond Stone,CHI,50000.0
141,Dillon Brooks,MEM,815615.0
142,Dion Waiters,MIA,11000000.0
143,Dirk Nowitzki,DAL,5000000.0
144,Domantas Sabonis,IND,2550000.0
145,Donovan Mitchell,UTA,2621280.0
