,players,teams,Rk,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0,Aaron Brooks\brookaa01,MIN,65,33,32,189,9.8,0.508,0.449,0.159,4.2,6.2,5.2,15.1,1.6,0.0,13.0,19.9,0.1,0.1,0.1,0.033,-0.8,-3.6,-4.3,-0.1
1,Aaron Gordon\gordoaa01,ORL,179,22,58,1909,16.5,0.53,0.395,0.26,5.0,21.5,13.2,11.7,1.5,1.9,10.0,24.7,0.9,2.0,2.9,0.07200000000000001,0.0,0.0,0.0,1.0
2,Aaron Harrison\harriaa01,DAL,201,23,9,233,5.1,0.392,0.623,0.24600000000000002,1.8,9.9,5.7,6.7,1.9,0.8,3.8,15.5,-0.3,0.2,-0.1,-0.013999999999999999,-3.6,-0.5,-4.1,-0.1
3,Aaron Jackson\jacksaa01,HOU,243,31,1,35,2.4,0.405,0.444,0.222,6.5,3.2,4.8,4.0,0.0,0.0,9.2,13.7,0.0,0.0,0.0,-0.017,-4.6,-3.0,-7.7,-0.1
4,Abdel Nader\naderab01,BOS,363,24,48,522,5.1,0.439,0.436,0.262,2.8,12.0,7.4,7.1,1.4,1.6,17.0,17.1,-0.9,0.8,-0.1,-0.013999999999999999,-5.9,0.3,-5.6,-0.5
5,Adreian Payne\paynead01,ORL,397,26,5,43,18.8,0.831,0.3,0.6,5.1,18.0,11.5,0.0,2.3,0.0,13.7,15.0,0.1,0.0,0.2,0.203,0.1,-4.1,-4.1,0.0
6,Al Horford\horfoal01,BOS,227,31,72,2277,17.6,0.575,0.3,0.159,5.0,20.2,12.7,23.6,0.9,2.9,14.1,18.4,4.0,3.8,7.8,0.165,1.1,2.9,4.0,3.5
7,Al Jefferson\jeffeal01,IND,250,33,36,484,20.2,0.563,0.013999999999999999,0.17300000000000001,7.0,26.2,16.7,10.0,1.7,4.2,8.6,22.5,0.8,0.8,1.6,0.158,-1.7,1.3,-0.5,0.2
8,Al-Farouq Aminu\aminual01,POR,11,27,69,2072,12.0,0.522,0.5820000000000001,0.13699999999999998,5.2,22.3,13.8,5.8,1.9,1.6,11.3,14.8,0.9,3.2,4.2,0.09699999999999999,-0.8,1.9,1.1,1.6
9,Alan Williams\willial03,PHO,517,25,5,70,9.3,0.455,0.0,0.5,4.5,29.5,16.8,16.3,3.4,1.2,24.2,17.5,-0.1,0.1,0.0,-0.004,-6.5,2.8,-3.7,0.0
10,Alec Burks\burksal01,UTA,78,26,64,1059,13.1,0.527,0.34299999999999997,0.3,2.1,18.4,10.3,10.0,1.8,0.6,11.4,22.5,0.2,1.6,1.9,0.084,-2.5,-0.3,-2.8,-0.2
11,Alec Peters\peteral01,PHO,403,22,20,225,10.7,0.523,0.784,0.135,3.7,14.0,8.8,7.9,0.4,0.7,4.9,15.5,0.2,0.0,0.3,0.055,-0.2,-3.1,-3.3,-0.1
12,Alex Abrines\abrinal01,OKC,1,24,75,1134,9.0,0.5670000000000001,0.759,0.158,2.5,8.9,5.6,3.4,1.7,0.6,7.4,12.7,1.3,1.0,2.2,0.094,-0.5,-1.7,-2.2,-0.1
13,Alex Caruso\carusal01,LAL,89,23,37,562,8.7,0.519,0.371,0.259,2.9,9.4,6.2,17.8,2.0,1.4,24.5,12.9,-0.1,0.6,0.5,0.040999999999999995,-3.4,0.5,-2.9,-0.1
14,Alex Len\lenal01,PHO,292,24,69,1395,19.4,0.612,0.008,0.611,13.2,26.7,19.8,9.1,0.9,3.5,14.0,17.0,3.2,1.3,4.5,0.154,-0.3,1.1,0.8,1.0
15,Alex Poythress\poythal01,IND,414,24,25,104,7.8,0.5,0.423,0.0,7.7,10.8,9.2,2.6,1.4,0.9,7.1,12.0,0.1,0.1,0.1,0.066,-2.3,-1.7,-4.0,-0.1
16,Alfonzo McKinnie\mckinal01,TOR,330,25,14,53,10.1,0.643,0.6,0.2,2.2,12.4,7.4,2.7,0.9,1.5,15.5,16.0,0.0,0.1,0.1,0.084,-1.3,-1.8,-3.1,0.0
17,Allen Crabbe\crabbal01,BRK,114,25,75,2197,12.3,0.5579999999999999,0.643,0.163,1.3,14.4,7.8,8.4,1.0,1.2,8.1,19.0,1.8,1.4,3.2,0.07,0.4,-1.2,-0.8,0.7
18,Amir Johnson\johnsam01,PHI,254,30,74,1171,14.8,0.575,0.12300000000000001,0.327,11.8,18.3,15.2,13.9,1.8,3.1,15.6,12.8,2.1,2.0,4.1,0.16899999999999998,-0.2,3.1,2.9,1.5
19,Andre Drummond\drumman01,DET,140,24,78,2625,22.9,0.555,0.012,0.44799999999999995,16.4,36.4,26.2,14.3,2.2,4.3,15.9,21.2,4.6,5.7,10.3,0.18899999999999997,0.2,5.3,5.5,5.0
20,Andre Iguodala\iguodan01,GSW,234,34,64,1622,11.2,0.536,0.366,0.272,3.7,12.6,8.5,16.2,1.6,1.9,15.8,11.5,1.6,1.6,3.2,0.094,-0.7,0.9,0.2,0.9
21,Andre Ingram\ingraan01,LAL,237,32,2,64,16.3,0.655,0.529,0.17600000000000002,1.7,8.3,5.0,15.3,2.2,3.8,14.1,14.1,0.1,0.1,0.2,0.157,0.4,0.9,1.3,0.1
22,Andre Roberson\roberan03,OKC,429,26,39,1037,10.9,0.5429999999999999,0.222,0.235,7.8,12.2,9.9,6.0,2.2,3.1,14.4,8.6,0.8,1.3,2.2,0.1,-1.3,2.8,1.5,0.9
23,Andrew Bogut\bogutan01,LAL,56,33,23,216,10.9,0.696,0.0,0.08,12.9,25.4,19.2,9.1,0.9,4.9,42.3,8.8,0.1,0.3,0.4,0.094,-3.6,3.6,0.0,0.1
24,Andrew Harrison\harrian01,MEM,202,23,56,1326,12.7,0.534,0.331,0.371,2.0,9.7,5.7,21.3,1.4,1.8,14.0,19.6,1.0,0.7,1.7,0.062,-0.9,-1.5,-2.5,-0.2
25,Andrew White\whitean01,ATL,509,24,15,209,5.8,0.461,0.6709999999999999,0.055,2.1,16.0,9.1,4.3,0.7,0.4,9.7,17.3,-0.2,0.1,-0.1,-0.034,-4.2,-2.9,-7.1,-0.3
26,Andrew Wiggins\wiggian01,MIN,514,22,82,2979,13.0,0.505,0.26,0.242,3.1,10.8,6.9,8.2,1.5,1.5,8.8,23.4,0.5,1.6,2.1,0.034,-1.1,-1.4,-2.5,-0.4
